;;TEST NEARK_COMPARE_EM: Thu Feb  3 02:37:13 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj100EE8HMMetricE],[8HMMetric, ]
;;[6CMTreeI8HMPointGILj100EE8HMMetricE],[8HMMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,CMT.numDistCalls,Baseline.numDistCalls
0,CMT,14,100,10000,100,30,3000,30,RAN,BOM,9987.86,9980.59,332.686333.114
;;TEST NEARK_COMPARE_EM: Thu Feb  3 02:47:34 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj100EE8HMMetricE],[8HMMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,CMT.numDistCalls,Baseline.numDistCalls
0,CMT,14,100,10000,100,50,5000,50,RAN,BOM,9985.73,9981,199.62199.955
;;TEST NEARK_COMPARE_EM: Thu Feb  3 02:47:42 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj100EE8HMMetricE],[8HMMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,CMT.numDistCalls,Baseline.numDistCalls
0,CMT,14,100,10000,100,90,9000,90,RAN,BOM,9995.75,9992.59,111.029111.09
;;TEST NEARK_COMPARE_EM: Thu Feb  3 02:47:50 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj100EE8HMMetricE],[8HMMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,CMT.numDistCalls,Baseline.numDistCalls
0,CMT,14,100,10000,100,100,10000,100,RAN,BOM,9996.53,9993.72,99.937299.978
;;TEST NEARK_COMPARE_EM: Thu Feb  3 02:50:35 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj100EE8HMMetricE],[8HMMetric, ]
