;;TEST EMSC: Fri Jan 28 03:15:25 2022
;;TEST EMSC: Fri Jan 28 03:28:02 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,100,10000,0,RAN,BOM,100,100,3,32
;;TEST EMSC: Fri Jan 28 03:28:45 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,100,10000,0,RAN,BOM,100,100,3,31
;;TEST EMSC: Fri Jan 28 03:34:50 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,100,10000,0,RAN,BOM,100,100,3,30
;;TEST EMSC: Fri Jan 28 03:34:59 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,100,10000,0,RAN,BOM,100,100,3,31
;;TEST EMSC: Fri Jan 28 03:35:04 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,100,10000,0,RAN,BOM,100,100,3,33
;;TEST EMSC: Fri Jan 28 03:35:22 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,100,10000,0,RAN,BOM,100,100,3,31
;;TEST EMSC: Fri Jan 28 03:35:36 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,100,10000,0,RAN,BOM,100,100,3,33
;;TEST EMSC: Fri Jan 28 03:37:04 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,100,10000,0,RAN,BOM,100,100,3,33
;;TEST EMSC: Fri Jan 28 03:37:27 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,100,10000,0,RAN,BOM,100,100,3,34ht
;;TEST EMSC: Fri Jan 28 03:40:45 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[7SPMTreeI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,2,200,0,RAN,BOM,100,100,3,0
;;TEST EMSC: Fri Jan 28 03:45:40 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
;;[CLasses # 2]:
;;[16BruteForceSearchI8HMPointGILj50EE8HMMetricE]
;; Tree depths, min depth, max depth :1,6,6
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,btime,stime
100,0,2,200,0,RAN,BOM,100,100,1,0
