;;TEST EMSC: Fri Jan 28 21:08:11 2022
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,BaseLine<numDistanceCalls>,btime,stime
10000,0,10,12433,8763.62,RAN,BOM,9636,472,81
;;TEST EMSC: Wed Feb  2 20:32:45 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
;;[CLasses # 2]:
;; Tree depths, min depth, max depth :2,12,13
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,BaseLine<numDistanceCalls>,btime,stime
10000,0,10,12433,8763.62,RAN,BOM,9636,9180,459,82
;;TEST EMSC: Wed Feb  2 20:34:11 2022
;;[CLasses]:
;;[7SPMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
;;[CLasses # 2]:
;; Tree depths, min depth, max depth :2,12,13
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,BaseLine<numDistanceCalls>,btime,stime
10000,0,10,12433,5797.78,RAN,BOM,9841,9841,299,44
;;TEST EMSC: Wed Feb  2 20:52:02 2022
;;[CLasses]:
;;[7SPMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
;;[CLasses # 2]:
;; Tree depths, min depth, max depth :1,16,16
dbSize,DiffCount,nQueries,nfound,radiusSu,Pivo,Partitio,<nodesVisited>,<numDistanceCalls>,BaseLine<numDistanceCalls>,btime,stime
100000,0,100,1422337,50445.1,RAN,BOM,94999,94999,86345,6500,21321
