;;TEST RADIUS: Mon Jan 24 23:21:10 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj10EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,200,50,200000,F,100,1,20000000,200000,0,RAN,BOM,200000,200000,10918,67032,670320
CMT,200,50,200000,F,100,2,20000000,200000,0,RAN,BOM,200000,200000,10918,67015,670150
CMT,200,50,200000,F,100,3,20000000,200000,0,RAN,BOM,200000,200000,10918,67783,677830
CMT,200,50,200000,F,100,4,20000000,200000,0,RAN,BOM,200000,200000,10918,66271,662710
CMT,200,50,200000,F,100,5,20000000,200000,0,RAN,BOM,200000,200000,10918,67172,671720
CMT,300,50,200000,F,100,1,20000000,200000,0,RAN,BOM,200000,200000,11205,65320,653200
CMT,300,50,200000,F,100,2,20000000,200000,0,RAN,BOM,200000,200000,11205,65740,657400
CMT,300,50,200000,F,100,3,20000000,200000,0,RAN,BOM,200000,200000,11205,67522,675220
CMT,300,50,200000,F,100,4,20000000,200000,0,RAN,BOM,200000,200000,11205,66795,667950
CMT,300,50,200000,F,100,5,20000000,200000,0,RAN,BOM,200000,200000,11205,68300,683000
CMT,400,50,200000,F,100,1,20000000,200000,0,RAN,BOM,200000,200000,11123,67337,673370
CMT,400,50,200000,F,100,2,20000000,200000,0,RAN,BOM,200000,200000,11123,66080,660800
CMT,400,50,200000,F,100,3,20000000,200000,0,RAN,BOM,200000,200000,11123,66861,668610
CMT,400,50,200000,F,100,4,20000000,200000,0,RAN,BOM,200000,200000,11123,68017,680170
CMT,400,50,200000,F,100,5,20000000,200000,0,RAN,BOM,200000,200000,11123,67772,677720
CMT,500,50,200000,F,100,1,20000000,200000,0,RAN,BOM,200000,200000,11035,67026,670260
CMT,500,50,200000,F,100,2,20000000,200000,0,RAN,BOM,200000,200000,11035,68441,684410
CMT,500,50,200000,F,100,3,20000000,200000,0,RAN,BOM,200000,200000,11035,68773,687730
CMT,500,50,200000,F,100,4,20000000,200000,0,RAN,BOM,200000,200000,11035,68066,680660
CMT,500,50,200000,F,100,5,20000000,200000,0,RAN,BOM,200000,200000,11035,66941,669410
CMT,600,50,200000,F,100,1,20000000,200000,0,RAN,BOM,200000,200000,11024,66181,661810
CMT,600,50,200000,F,100,2,20000000,200000,0,RAN,BOM,200000,200000,11024,68406,684060
CMT,600,50,200000,F,100,3,20000000,200000,0,RAN,BOM,200000,200000,11024,67642,676420
CMT,600,50,200000,F,100,4,20000000,200000,0,RAN,BOM,200000,200000,11024,67147,671470
CMT,600,50,200000,F,100,5,20000000,200000,0,RAN,BOM,200000,200000,11024,69024,690240
CMT,700,50,200000,F,100,1,20000000,200000,0,RAN,BOM,200000,200000,10961,66265,662650
CMT,700,50,200000,F,100,2,20000000,200000,0,RAN,BOM,200000,200000,10961,66388,663880
